country,flag,map,tags,population
Suriname,"<img src=""ug-flag-suriname.svg"" />","<img src=""ug-map-suriname.png"" />","UG::South_America, UG::Sovereign_State",616500
Uruguay,"<img src=""ug-flag-uruguay.svg"" />","<img src=""ug-map-uruguay.png"" />","UG::South_America, UG::Sovereign_State",3566550
Venezuela,"<img src=""ug-flag-venezuela.svg"" />","<img src=""ug-map-venezuela.png"" />","UG::South_America, UG::Sovereign_State",28302000
Cook Islands,"<img src=""ug-flag-cook_islands.svg"" />","<img src=""ug-map-cook_islands.png"" />","UG::Oceania, UG::Sovereign_State",15040
Federated States of Micronesia,"<img src=""ug-flag-federated_states_of_micronesia.svg"" />","<img src=""ug-map-federated_states_of_micronesia.png"" />","UG::Oceania, UG::Sovereign_State",105754
Guam,"<img src=""ug-flag-guam-blur.svg"" /><img src=""ug-flag-guam.svg"" />","<img src=""ug-map-guam.png"" />",UG::Oceania,153836
Vanuatu,"<img src=""ug-flag-vanuatu.svg"" />","<img src=""ug-map-vanuatu.png"" />","UG::Oceania, UG::Sovereign_State",301295
Canada,"<img src=""ug-flag-canada.svg"" />","<img src=""ug-map-canada.png"" />","UG::North_America, UG::Sovereign_State",40238600
United States of America,"<img src=""ug-flag-united_states_of_america.svg"" />","<img src=""ug-map-united_states_of_america.png"" />","UG::North_America, UG::Sovereign_State",335236000
Mexico,"<img src=""ug-flag-mexico.svg"" />","<img src=""ug-map-mexico.png"" />","UG::North_America, UG::Sovereign_State",129035733
Puerto Rico,"<img src=""ug-flag-puerto_rico.svg"" />","<img src=""ug-map-puerto_rico.png"" />","UG::Caribbean, UG::North_America",3221789
Cuba,"<img src=""ug-flag-cuba.svg"" />","<img src=""ug-map-cuba.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",11089511
Dominican Republic,"<img src=""ug-flag-dominican_republic.svg"" />","<img src=""ug-map-dominican_republic.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",10535535
Haiti,"<img src=""ug-flag-haiti.svg"" />","<img src=""ug-map-haiti.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",11743017
Jamaica,"<img src=""ug-flag-jamaica.svg"" />","<img src=""ug-map-jamaica.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",2825544
Trinidad and Tobago,"<img src=""ug-flag-trinidad_and_tobago.svg"" />","<img src=""ug-map-trinidad_and_tobago.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",1365805
Bermuda,,"<img src=""ug-map-bermuda.png"" />","UG::Caribbean, UG::North_America",64055
Guadeloupe,,"<img src=""ug-map-guadeloupe.png"" />","UG::Caribbean, UG::North_America",383559
The Bahamas,"<img src=""ug-flag-the_bahamas.svg"" />","<img src=""ug-map-the_bahamas.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",397360
Barbados,"<img src=""ug-flag-barbados.svg"" />","<img src=""ug-map-barbados.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",267800
Belize,"<img src=""ug-flag-belize.svg"" />","<img src=""ug-map-belize.png"" />","UG::North_America, UG::Sovereign_State",441471
